Comment,Designator,Footprint,LCSC,Quantity
SW_Push,"SW4,SW6",SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,C115360,2
SW_Slide_DPDT,SW3,SSSS213202,C115375,1
1.41102E+13,J4,1.40102E+13,C17593927,1
SS8050,"Q2,Q3",SOT-23,C2150,2
SS54,"D5,D6,D7,D8",D_SMA,C22452,4
1.5k,"R5,R6,R7",R_0603_1608Metric,C22843,3
470,R4,R_0603_1608Metric,C23179,1
100,R24,R_0402_1005Metric,C25076,1
10k,"R16,R18,R19,R21,R22,R23,R26,R27,R28,R29,R30,R31,R32",R_0402_1005Metric,C25744,13
22.1k,R14,R_0402_1005Metric,C25768,1
47.5k,R15,R_0402_1005Metric,C25792,1
5.1k,"R20,R25",R_0402_1005Metric,C25905,2
USB_C_Receptacle_USB2.0_16P,J11,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C2765186,1
BMI270,U7,XDCR_BMI270,C2836813,1
SW_SPDT,SW2,SW_SS-12M11G5,C2879839,1
K7805M/M78AR05,U4,M78AR,C2992391,1
Conn_01x02,"J10,J12,J6",PTS_1.5_2,C3032345,3
SERVO,"J2,J3",PinHeader_2x03_P2.54mm_Vertical_SMD,C3294461,2
LESD5D5.0CT1G,"D2,D3,D4",D_SOD-523,C383211,3
NMOS,Q1,SOT-23F,C395454,1
1.5k,R13,R_0402_1005Metric,C4109,1
PWR,L1,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C434435,1
10μF,"C16,C19,C9",C_0805_2012Metric,C440198,3
TB67H450FNG_EL,"U3,U8",HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.3x2.3mm,C545417,2
ENC/IO,"J1,J7,J8,J9",1.41105E+13,C5475480,4
AMS1117-3.3,U1,SOT-223-3_TabPin2,C6186,1
ESP32-WROOM-32E,U5,ESP32-WROOM-32E,C701341,1
Battery,BT1,BAT_2481,C7174242,1
0.1uF,"C12,C14,C15,C17,C18,C3,C6,C7,C8",C_0402_1005Metric,C77020,9
IO2,"L2,L3,L4",LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C84256,3
22μF,"C1,C10,C11,C2,C5",C_0603_1608Metric,C86295,5
CP2102N-A02-GQFN28,U2,IC_CP2102N-A02-GQFN28R,C964632,1
Conn_01x05,J5,PinHeader_1x05_P2.54mm_Vertical,,1
