Comment,Designator,Footprint,LCSC,Quantity
0.1μF,"C12,C17,C18,C20,C21,C3,C6,C7,C8",C_0402_1005Metric,C307331,9
1.5k,"R13,R5,R6,R7",R_0603_1608Metric,C22843,4
100,R24,R_0402_1005Metric,C25076,1
100k,R23,R_0402_1005Metric,C25741,1
10k,"R1,R16,R18,R19,R2,R21,R22,R26,R29,R3,R30,R31,R32",R_0402_1005Metric,C25744,13
10μF,"C16,C19,C9",C_0805_2012Metric,C440198,3
22.1k,R14,R_0402_1005Metric,C25768,1
22μF,"C1,C10,C11,C2,C5",C_0805_2012Metric,C45783,5
47.5k,R15,R_0402_1005Metric,C25792,1
470,R4,R_0603_1608Metric,C23179,1
470μF,C4,CP_Elec_6.3x7.7,C709470,1
5.1k,"R20,R25",R_0402_1005Metric,C25905,2
AMS1117-3.3,U1,SOT-223-3_TabPin2,C6186,1
BMI270,U7,XDCR_BMI270,C2836813,1
Battery,BT1,BAT_2481,C7174242,1
CP2102N-A02-GQFN28,U2,IC_CP2102N-A02-GQFN28R,C964632,1
Conn_01x02,"J10,J12,J13,J6",PTS_1.5_2,C3032345,4
Conn_01x10,J4,PinSocket_1x10_P2.54mm_Vertical,C2897373,1
Conn_02x03_Odd_Even,"J2,J3,J5",PinHeader_2x03_P2.54mm_Vertical_SMD,C3294461,3
ESP32-WROOM-32E,U5,ESP32-WROOM-32E,C701342,1
Harting-Conn,"J8,J9",14110513001000,C5475480,2
K7805M/M78AR05,U4,M78AR,C2992391,1
LED,"L2,L3,L4",LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C84256,3
LESD5D5.0CT1G,"D2,D3,D4",D_SOD-523,C383211,3
NMOS,Q1,SOT-23F,C395454,1
PWR,L1,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C434435,1
SMBJ6.5A,D9,D_SMB,C41376096,1
SS54,"D5,D6,D7,D8",D_SMA,C22452,4
SS8050,"Q2,Q3",SOT-23,C2150,2
SW_DIP_x02,SW1,SW_DIP_SPSTx02_Slide_Omron_A6S-210x_W8.9mm_P2.54mm,C6331180,1
SW_Push,"SW4,SW6",SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,C115360,2
SW_SPDT,SW2,SW_SS-12M11G5,C2879839,1
TB67H450FNG_EL,"U3,U8",HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.3x2.3mm,C545417,2
USB_C_Receptacle_USB2.0_16P,J11,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C2765186,1
Conn_01x04,J1,PinHeader_1x04_P2.54mm_Vertical,,1
